,ProductDescription,TargetProductionRate
0,BIO 2-WEG SPIRALEN HALF VOLKOR,6000
1,BIO COQUILLETTES,6000
2,BONETTI LM 897/384,3000
3,BONETTI QC LM 70/30 HARD/ZACHT,3000
4,COURVO DURUM/ZACHTE 70/30,6000
5,ELLEBOOGMACARONI,6000
6,"GESNEDEN MACARONI AS 0,9%",6000
7,HELICES EXTRA CESTINDUE,6000
8,HELICES EXTRA SBS,6000
9,HELICES GENERIEK,6000
10,HORENTJE H/Z 10/90,6000
11,HORENTJES EXTRA,6000
12,HORENTJES H/Z 60/40,6000
13,HORENTJES KDO,6000
14,HORENTJES VOLKOREN STANDAARD,6000
15,"KLEIN HORENTJE DURUM AS 1,1%",6000
16,KLEIN HORENTJE H/Z 10/90,6000
17,KLEIN HORENTJE H/Z 51/49,4800
18,MAC.KORT L.M. 327/057,3000
19,"MACARONI KORT AS 1,1% DURUM",6000
20,MACARONI KORT EXTRA,6000
21,MACARONI KORT PLATTE ZAK,6000
22,MACARONI QC LM 70/30 HARD/ZACH,3000
23,PASTA MIE,6000
24,PENNE LARGE,6000
25,PENNE SCHERPE HOEK 40MM,6000
26,PENNEN EXTRA SCHERPE HOEK,6000
27,PIPE RIGATE LARGE FIORINI,6000
28,QUICK MACARONI KORT 20MM,6000
29,QUICK MACARONI KORT LM,3000
30,SPIRALEN 1% AS/DS,6000
31,"SPIRALEN DURUM AS 0,9%",6000
32,"SPIRALEN DURUM AS 1,1%",6000
33,SPIRALS LM 844/1211,3000
34,SPIRELLI VOLKOREN STANDAARD,6000
35,TAGLIATELLI EXTRA,6000
36,VERMICELLI EXTRA 16mm,6000
37,VERMICELLI LM 514/1003,3000
38,VERMICELLI LM H/Z 70/30,3000
39,VOLKOREN PENNEN STANDAARD,6000
40,ZITTI LM 942/1311 1.1% AS/DS,3000
41,ZITTI QC LM 70/30 H/Z,3000
