ID,Duration,Start,End,Quantity,Product
1,5.46,2016-01-19 14:21:43.910,2016-01-19 19:49:13.530,30000.0,FF029001
2,5.75,2016-01-21 09:56:40.027,2016-01-21 15:41:56.267,30000.0,FF011501
3,6.06,2016-01-21 16:08:34.180,2016-01-21 22:12:24.967,30000.0,FF036103
4,5.75,2016-01-21 22:39:55.343,2016-01-22 04:25:00.480,30000.0,FF025450
5,5.15,2016-01-22 04:56:05.187,2016-01-22 10:05:12.223,30000.0,FF025205
6,16.53,2016-01-22 21:58:59.087,2016-01-23 14:30:54.960,55000.0,FF049386
7,6.14,2016-01-24 22:41:58.087,2016-01-25 04:50:24.490,30000.0,FF025315
8,6.62,2016-01-25 04:51:20.937,2016-01-25 11:28:46.800,30000.0,FF027401
9,5.27,2016-01-25 12:51:13.530,2016-01-25 18:07:20.987,30000.0,FF082005
10,7.29,2016-01-25 18:16:13.003,2016-01-26 01:33:29.887,35000.0,FF044301
11,5.36,2016-01-26 01:33:33.390,2016-01-26 06:54:54.323,30000.0,FF025205
12,7.85,2016-01-26 07:22:05.993,2016-01-26 15:12:49.977,30000.0,FF014202
13,6.16,2016-01-26 15:25:55.597,2016-01-26 21:35:32.737,30000.0,FF036103
14,6.16,2016-01-26 21:35:37.407,2016-01-27 03:45:13.633,30000.0,FF011501
15,5.68,2016-01-27 05:05:26.030,2016-01-27 10:46:04.190,30000.0,FF044001
16,7.31,2016-01-27 11:11:29.337,2016-01-27 18:29:51.983,30000.0,FF144220
17,5.34,2016-01-27 18:47:50.180,2016-01-28 00:08:03.967,30000.0,FF029201
18,5.4,2016-01-28 00:08:07.847,2016-01-28 05:32:08.587,30000.0,FF029101
19,5.27,2016-01-28 05:57:21.390,2016-01-28 11:13:19.440,30000.0,FF029001
20,5.92,2016-01-28 11:40:28.080,2016-01-28 17:35:40.903,30000.0,FF036110
21,5.07,2016-01-28 23:44:07.163,2016-01-29 04:48:31.877,30000.0,FF025205
22,14.97,2016-01-29 19:25:55.800,2016-01-30 10:23:51.200,50000.0,FF049386
23,22.83,2016-01-30 10:51:42.587,2016-01-31 09:41:13.693,50000.0,FF027206
24,5.65,2016-02-01 05:03:33.167,2016-02-01 10:42:32.207,30000.0,FF044301
25,6.92,2016-02-01 10:42:37.023,2016-02-01 17:37:37.293,30000.0,FF044101
26,5.36,2016-02-01 18:05:56.793,2016-02-01 23:27:30.203,30000.0,FF145300
27,7.29,2016-02-01 23:27:33.803,2016-02-02 06:45:14.700,35000.0,FF025450
28,9.99,2016-02-02 07:07:29.350,2016-02-02 17:06:51.180,60000.0,FF035105
29,5.13,2016-02-02 17:26:27.037,2016-02-02 22:33:59.503,30000.0,FF025305
30,5.07,2016-02-02 22:34:04.140,2016-02-03 03:38:00.673,30000.0,FF025205
31,7.5,2016-02-03 03:38:04.180,2016-02-03 11:08:16.007,30000.0,FF145300
32,5.4,2016-02-03 08:27:43.843,2016-02-03 13:51:41.163,30000.0,FF025201
33,5.5,2016-02-03 14:11:51.800,2016-02-03 19:41:52.950,30000.0,FF012201
34,5.55,2016-02-03 19:50:41.580,2016-02-04 01:23:54.267,30000.0,FF044001
35,6.05,2016-02-04 01:23:57.963,2016-02-04 07:26:40.833,30000.0,FF025450
36,8.52,2016-02-04 07:38:54.973,2016-02-04 16:09:56.110,40000.0,FF036110
37,5.05,2016-02-04 16:11:13.877,2016-02-04 21:14:10.063,30000.0,FF025001
38,86.25,2016-02-04 21:14:15.710,2016-02-08 11:29:03.510,35000.0,FF025205
39,30.95,2016-02-05 05:56:15.180,2016-02-06 12:53:12.613,100000.0,FF049386
40,9.91,2016-02-06 13:33:09.150,2016-02-06 23:27:42.610,30000.0,FF174936
41,5.64,2016-02-08 05:15:32.893,2016-02-08 10:53:54.647,30000.0,FF044301
42,5.4,2016-02-08 11:10:29.337,2016-02-08 16:34:26.907,30000.0,FF025205
43,5.4,2016-02-08 16:34:31.690,2016-02-08 21:58:16.983,30000.0,FF029001
