ID,Uptime,Totaltime,Quantity,Start,End,Product,Type,Before
50788,24.824166666666667,40.21555277777777,4500.0,2016-01-23 17:04:02.843000,2016-01-25 09:16:58.020000,COQUILLETTES PPX 12x1KG,ELLEBOOGJES,2016-02-08 09:16:58.020000
50787,0.0,3.4052777777777776,0.0,2016-01-25 09:16:58.020000,2016-01-25 12:41:17.787000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-07 12:41:17.787000
1,0.0,1.579230555555556,0.0,2016-01-25 12:41:17.787000,2016-01-25 14:16:03.017000,NONE,NONE,2017-11-30 14:28:28.790000
77297,6.355833333333333,9.7175,1499.0,2016-01-25 14:16:03.017000,2016-01-25 23:59:06.210000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-07 23:59:06.210000
2,0.0,1.102656388888889,0.0,2016-01-25 23:59:06.210000,2016-01-26 01:05:15.773000,NONE,NONE,2017-11-30 14:28:28.790000
50903,5.736111111111111,6.332218611111111,1948.0,2016-01-26 01:05:15.773000,2016-01-26 07:25:11.257000,ALDI BELGIE SPIRALE 16x500G,SPIRELLI,2016-02-06 07:25:11.257000
50904,12.821388888888889,19.15194166666667,3200.0,2016-01-26 07:25:11.257000,2016-01-27 02:34:18.887000,CARREFOUR DISCOUNT COQUILLETTE,ELLEBOOGJES,2016-02-07 02:34:18.887000
50972,3.6266666666666665,8.98611111111111,932.0,2016-01-27 02:34:18.887000,2016-01-27 11:33:28.223000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-06 11:33:28.223000
5,0.0,1.2782233333333335,0.0,2016-01-27 11:33:28.223000,2016-01-27 12:50:09.827000,NONE,NONE,2017-11-30 14:28:28.790000
77298,8.036388888888888,10.395833333333334,2067.0,2016-01-27 12:50:09.827000,2016-01-27 23:13:54.600000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-06 23:13:54.600000
6,0.0,10.222574166666666,0.0,2016-01-27 23:13:54.600000,2016-01-28 09:27:15.867000,NONE,NONE,2017-11-30 14:28:28.790000
50919,0.3338888888888889,5.093833333333333,78.0,2016-01-28 09:27:15.867000,2016-01-28 14:32:53.317000,COQUILLETTES PPX 12x1KG,ELLEBOOGJES,2016-02-04 14:32:53.317000
77299,3.316666666666667,5.017777777777778,781.0,2016-01-28 14:32:53.317000,2016-01-28 19:33:57.673000,COQUILLETTES PPX 12x1KG,ELLEBOOGJES,2016-02-09 19:33:57.673000
8,0.0,2.4793130555555556,0.0,2016-01-28 19:33:57.673000,2016-01-28 22:02:43.200000,NONE,NONE,2017-11-30 14:28:28.790000
77300,0.2841666666666667,1.8891666666666667,66.0,2016-01-28 22:02:43.200000,2016-01-28 23:56:04.280000,COQUILLETTES PPX 12x1KG,ELLEBOOGJES,2016-02-08 23:56:04.280000
9,0.0,1.0736861111111111,0.0,2016-01-28 23:56:04.280000,2016-01-29 01:00:29.550000,NONE,NONE,2017-11-30 14:28:28.790000
77301,5.828333333333333,10.826669444444445,1372.0,2016-01-29 01:00:29.550000,2016-01-29 11:50:05.340000,COQUILLETTES PPX 12x1KG,ELLEBOOGJES,2016-02-05 11:50:05.340000
50920,2.29,5.767777777777778,612.0,2016-01-29 11:50:05.340000,2016-01-29 17:36:09.977000,TOSCA VERMICELLES 10x1KG IN DI,VERMICELLI,2016-02-06 17:36:09.977000
11,0.0,1.1340655555555554,0.0,2016-01-29 17:36:09.977000,2016-01-29 18:44:12.613000,NONE,NONE,2017-11-30 14:28:28.790000
77302,4.434722222222222,7.062780555555555,1187.0,2016-01-29 18:44:12.613000,2016-01-30 01:47:58.580000,TOSCA VERMICELLES 10x1KG IN DI,VERMICELLI,2016-02-07 01:47:58.580000
50921,6.963055555555556,9.339475,1800.0,2016-01-30 01:47:58.580000,2016-01-30 11:08:21.103000,VERMICELLES PPX 10X1KG,VERMICELLI,2016-02-11 11:08:21.103000
51151,13.563055555555556,36.198055555555555,4132.0,2016-01-30 11:08:21.103000,2016-01-31 23:20:14.027000,MACARONI COUPS PPX 10X1KG,MACARONI,2016-02-12 23:20:14.027000
14,0.0,2.2725333333333335,0.0,2016-01-31 23:20:14.027000,2016-02-01 01:36:35.147000,NONE,NONE,2017-11-30 14:28:28.790000
77303,3.8691666666666666,6.842907222222222,1178.0,2016-02-01 01:36:35.147000,2016-02-01 08:27:10.063000,MACARONI COUPS PPX 10X1KG,MACARONI,2016-02-12 08:27:10.063000
77304,0.28944444444444445,0.7308463888888889,88.0,2016-02-01 08:27:10.063000,2016-02-01 09:11:01.627000,MACARONI COUPS PPX 10X1KG,MACARONI,2016-02-09 09:11:01.627000
51257,0.6922222222222222,4.152777777777778,175.0,2016-02-01 09:11:01.627000,2016-02-01 13:20:11.710000,MACARONI COUPS PPX 10X1KG,MACARONI,2016-02-14 13:20:11.710000
17,0.0,2.169779722222222,0.0,2016-02-01 13:20:11.710000,2016-02-01 15:30:22.917000,NONE,NONE,2017-11-30 14:28:28.790000
77305,0.8569444444444444,2.118611111111111,216.0,2016-02-01 15:30:22.917000,2016-02-01 17:37:29.280000,MACARONI COUPS PPX 10X1KG,MACARONI,2016-02-14 17:37:29.280000
51148,0.0,2.5944444444444446,0.0,2016-02-01 17:37:29.280000,2016-02-01 20:13:09.147000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-09 20:13:09.147000
19,0.0,12.85160916666667,0.0,2016-02-01 20:13:09.147000,2016-02-02 09:04:14.940000,NONE,NONE,2017-11-30 14:28:28.790000
77306,15.525555555555556,23.349388055555558,4085.0,2016-02-02 09:04:14.940000,2016-02-03 08:25:12.030000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-12 08:25:12.030000
77307,1.571388888888889,1.9480325,413.0,2016-02-03 08:25:12.030000,2016-02-03 10:22:05.670000,ALDI BELGIE GESNEDEN MACARONI,MACARONI,2016-02-12 10:22:05.670000
51150,4.740555555555556,6.854722222222223,1500.0,2016-02-03 10:22:05.670000,2016-02-03 17:13:22.340000,ALDI BELGIE SPIRALE 16x500G,SPIRELLI,2016-02-10 17:13:22.340000
22,0.0,7.144793611111112,0.0,2016-02-03 17:13:22.340000,2016-02-04 00:22:03.597000,NONE,NONE,2017-11-30 14:28:28.790000
51179,0.08444444444444445,1.2987963888888887,18.0,2016-02-04 00:22:03.597000,2016-02-04 01:39:59.297000,HORENTJES AMBRA SUPERIORE 20x5,HORENTJE,2016-02-14 01:39:59.297000
