,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate
61969,5.833333333333333,5.833333333333333,35000.0,2016-11-03 00:00:00.000000,2016-11-03 06:07:19.937000,KLEIN HORENTJE H/Z 10/90,HORENTJE,2016-10-24 07:08:12.890000,2016-11-11 07:08:12.890000
-470,2.0,2.0,2.0,2016-11-03 06:07:19.937000,2016-11-03 10:40:03.300000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775
61962,6.666666666666667,6.666666666666667,40000.0,2016-11-03 10:40:03.300000,2016-11-03 17:49:06.437000,"GESNEDEN MACARONI AS 0,9%",MACARONI,2016-10-26 14:05:35.653000,2016-11-13 14:05:35.653000
62082,7.5,7.5,45000.0,2016-11-03 17:49:06.437000,2016-11-04 01:54:43.564000,ELLEBOOGMACARONI,ELLEBOOGJE,2016-10-25 22:47:19.140000,2016-11-11 22:47:19.140000
62179,5.0,5.0,30000.0,2016-11-04 01:54:43.564000,2016-11-04 09:05:33.011000,"KLEIN HORENTJE DURUM AS 1,1%",HORENTJE,2016-10-28 04:32:24.930000,2016-11-13 04:32:24.930000
62022,11.666666666666666,11.666666666666666,35000.0,2016-11-04 09:05:33.011000,2016-11-04 21:00:03.968000,MACARONI QC LM 70/30 HARD/ZACH,MACARONI,2016-10-28 17:29:54.697000,2016-11-12 17:29:54.697000
62024,10.0,10.0,30000.0,2016-11-04 21:00:03.968000,2016-11-05 07:47:38.981000,BONETTI QC LM 70/30 HARD/ZACHT,Other,2016-10-26 05:43:35.140000,2016-11-13 05:43:35.140000
61892,16.666666666666668,16.666666666666668,50000.0,2016-11-05 07:47:38.981000,2016-11-06 01:31:47.708000,ZITTI QC LM 70/30 H/Z,MACARONI,2016-10-29 21:23:09.637000,2016-11-12 21:23:09.637000
62023,13.333333333333334,13.333333333333334,40000.0,2016-11-06 01:31:47.708000,2016-11-08 09:57:13.047000,VERMICELLI LM 514/1003,VERMICELLI,2016-10-31 08:46:41.173000,2016-11-15 08:46:41.173000
62253,5.833333333333333,5.833333333333333,35000.0,2016-11-08 09:57:13.047000,2016-11-08 16:26:36.833000,HELICES EXTRA SBS,HORENTJE,2016-10-31 14:49:48.377000,2016-11-14 14:49:48.377000
