Product,UnitPrice,Power,TargetProductionRate,Availability,Weight
AH BASIC ELLEBOOGMACARONI 20x5,0.6739381486848393,1.5547927328612634,244.0,0.7079203193899747,1.0
AH BASIC PENNE RIGATE 16X500 G,0.6253885624805912,0.6688508508406852,305.0,0.7079203193899747,1.0
AH BASIC VERMICELLI 20X500G,0.6034042698445923,1.9027986434850013,244.0,0.7079203193899747,1.0
ALDI BELGIE SPIRALE 16x500G,0.6061863394056402,2.127555393531172,305.0,0.7079203193899747,1.0
BIO VILLAGE COQUILLETTES 16X50,0.6293982516101813,2.0016999071238923,305.0,0.7079203193899747,1.0
CARREFOUR DISCOUNT FUSILLI 16X,0.6904851839786298,1.112920342193074,305.0,0.7079203193899747,1.0
EVERYDAY GESNEDEN MACARONI 18X,0.6906512955174496,0.769875263755081,271.0,0.7079203193899747,1.0
EVERYDAY SPIRELLI 16X500G,0.6959522112434059,1.2622262484310596,305.0,0.7079203193899747,1.0
FIORINI BIO COQUILLETTES 16X50,0.5900622766934197,1.7475836536229916,253.0,0.7079203193899747,1.0
HORENTJES AMBRA SUPERIORE 20x5,0.6109866635749439,0.8813297951171568,244.0,0.7079203193899747,1.0
MONOPP COQUILLETTES 20x500G,0.6916069712072969,2.35561021908746,300.0,0.7079203193899747,1.0
OKE FUSILLI 16X500G,0.6679332934210751,2.167978761400761,305.0,0.7079203193899747,1.0
PASTA MARE COQUILLETTES 20X500,0.5065878010960206,1.692312165233253,244.0,0.7079203193899747,1.0
TOSCA HORENTJES TARWEBLOEM 20x,0.6303770487463385,0.8281245031231041,244.0,0.7079203193899747,1.0
TOSCA VERMICELLI TARWEBLOEM 20,0.6710507781436368,0.7926120498224016,244.0,0.7079203193899747,1.0
WINNY MACARONI COUPE 18X500 G,0.5140845802925884,2.1545679306833527,271.0,0.7079203193899747,1.0
AH BIO VOLKOREN PENNE RIGATE 1,0.6141740071429187,0.5856935835822681,340.0,0.6599447412552807,1.0
ALDI BELGIE GESNEDEN MACARONI,0.5716073995571248,2.153207056245516,271.0,0.6599447412552807,1.0
BIO JARDIN COQ. CR SEMI-COMP 1,0.5835975614645581,2.0317710422042974,340.0,0.6599447412552807,1.0
BIO VILLAGE TORTI SEMI COMPLET,0.546591111954266,1.0821185102835154,340.0,0.6599447412552807,1.0
CARREFOUR DISCOUNT COQUILLETTE,0.5891894727832864,0.5627463939133623,244.0,0.6599447412552807,1.0
CARREFOUR DISCOUNT MACARONI CO,0.6044062421518115,1.3110904811438708,271.0,0.6599447412552807,1.0
FIORINI BIO TORSADES SEMI COMP,0.68070677252526,1.5218841609323792,340.0,0.6599447412552807,1.0
FIORINI TORTI CUISSON RAPIDE 1,0.5689094048575524,1.5942634154773974,340.0,0.6599447412552807,1.0
FIORINI TORTIS CUISSON RAPIDE,0.546743088204451,0.8347665130559341,225.0,0.6599447412552807,1.0
NETTO BIO TORSADES SEMI COMPLE,0.5461189120781013,1.1596881776237102,70.0,0.6599447412552807,1.0
PASTA MARE VERMICELLES D'ANGE,0.6878244643387863,1.5307626277529494,244.0,0.6599447412552807,1.0
PROEF op CHEP,0.6226742402489602,1.2729056440080175,16.0,0.6599447412552807,1.0
PROEFNUMMER FLEXIP,0.5951699551864736,1.5777488454387882,1.0,0.6599447412552807,1.0
Proefnummer Massap,0.6955041471240062,2.3543117860263747,130.0,0.6599447412552807,1.0
TOP BUDGET MACARONI COUPES PPX,0.5300558238375659,0.7965546024831833,244.0,0.6599447412552807,1.0
TURINI TORSETTES BL COMPLET 1,0.5416263760654708,1.4283278094716765,320.0,0.6599447412552807,1.0
TURINI TORSETTES CUISSON RAPID,0.6525159627776126,0.7123867787396851,225.0,0.6599447412552807,1.0
BIO VILLAGE PENNE RIGATE 12X50,0.5615303001236638,1.02837952483261,340.0,0.5915823891948495,1.0
BONI SELECTION BIO SPIRELLI 12,0.5029472192583362,1.2207160139749968,305.0,0.5915823891948495,1.0
BONI VOLKOREN SPIRELLI 12X500G,0.6580809576639886,1.2365058457384601,305.0,0.5915823891948495,1.0
CARREFOUR BIO PENNE RIGATE 12X,0.6610236291099922,2.1379799782282465,340.0,0.5915823891948495,1.0
CASINO TORTI CUISSON RAPIDE 12,0.6603106520794375,1.6259409783642131,305.0,0.5915823891948495,1.0
COQUILLETTES PPX 12x1KG,0.646640601273913,0.7642711557408521,203.0,0.5915823891948495,1.0
CORA TORTI CUISSON RAPIDE 12X5,0.5691141380218683,0.7823278178760678,320.0,0.5915823891948495,1.0
DLL 365 MACARONI COUPES 10X1KG,0.6760522024961625,2.3460756018905986,244.0,0.5915823891948495,1.0
DLL 365 SPIRELLI 12X1KG,0.57573403380512,1.7058402244909063,203.0,0.5915823891948495,1.0
FIORINI BIO PENNE RIGATE 12x50,0.5466272272189775,1.4426385204010521,340.0,0.5915823891948495,1.0
FIORINI COQUILLETTES 12x1KG,0.5928212295836387,2.2252544112933905,270.0,0.5915823891948495,1.0
FIORINI FUSILLI 12X500G,0.6667039357180259,0.7880199904241003,340.0,0.5915823891948495,1.0
FIORINI MACARONI COUP 12X500G,0.5134218427487506,1.7703470263048462,340.0,0.5915823891948495,1.0
FIORINI MACARONI COUP 8x1KG,0.6026291525021952,2.0245110517641347,340.0,0.5915823891948495,1.0
FIORINI MINI PENNE 12X500G,0.6425827702409923,0.9666805869524269,340.0,0.5915823891948495,1.0
FIORINI NOUILLES 8x1KG,0.6181678328169725,2.4776642939351685,225.0,0.5915823891948495,1.0
FIORINI SERPENTINI 12X500G,0.6331191071901916,2.3803119492028166,340.0,0.5915823891948495,1.0
FIORINI TORTI BL COMPLET 12X5,0.5866061030700208,0.7502740016879252,340.0,0.5915823891948495,1.0
FIORINI TORTIS 12X500G,0.5183693276911561,1.606329517220356,340.0,0.5915823891948495,1.0
JUMBO BIO MACARONI GRANDE 12X5,0.5237600054468611,1.9065317816645597,340.0,0.5915823891948495,1.0
JUMBO FUSILLI 12X500G,0.6485470081290459,2.198429636688279,340.0,0.5915823891948495,1.0
JUMBO PIPE RIGATE 12X500G,0.6866386756523251,0.5321140689191173,340.0,0.5915823891948495,1.0
JUMBO RIGATONI 12X500G,0.6126944082149692,0.8499368924028634,340.0,0.5915823891948495,1.0
MACARONI COUPS PPX 10X1KG,0.5533293356514948,0.585221227479648,244.0,0.5915823891948495,1.0
MONOPP COQUILLETTES 12x1KG,0.6338114390500371,1.01783913358612,300.0,0.5915823891948495,1.0
NOUILLES PPX 10x1KG,0.6496595785693643,1.3274184414246977,244.0,0.5915823891948495,1.0
PRIX GAGNANT COQUILLETES 12X1K,0.5192590687717336,1.3496167100215197,225.0,0.5915823891948495,1.0
RINATURA BIO VOLK. SPIRALEN 12,0.6540799392449265,1.9585019309899545,340.0,0.5915823891948495,1.0
SE PENNE 8X1KG,0.5759397957488296,0.8970661132156403,305.0,0.5915823891948495,1.0
TOSCA HORENTJES 12x1KG IN DISP,0.6209801946703478,0.5749325851744524,203.0,0.5915823891948495,1.0
TOSCA MACARONI KORT 10x1KG IN,0.6462775174727198,1.1099899994188154,244.0,0.5915823891948495,1.0
TOSCA TORTIS 12X1KG,0.5952957199852223,2.4354535211264574,203.0,0.5915823891948495,1.0
TOSCA VERMICELLES 10x1KG IN DI,0.5688836481408239,1.244716610537835,244.0,0.5915823891948495,1.0
TURINI COQUILLETTES 12x1KG,0.5183811724230304,1.388366582872665,270.0,0.5915823891948495,1.0
TURINI COQUILLETTES CR 12x1KG,0.5651224203595242,0.8906821299320216,270.0,0.5915823891948495,1.0
TURINI MACARONI COUP 12x500G,0.5288564902468667,0.8082897553527031,340.0,0.5915823891948495,1.0
TURINI MACARONI COUP 8x1KG,0.66217965883212,1.6580560349434912,225.0,0.5915823891948495,1.0
TURINI TORSADES 12x500G,0.5535655639803104,1.3887564645020973,336.0,0.5915823891948495,1.0
TURINI TORSADES 8x1KG,0.5021294100634048,1.783234770856413,225.0,0.5915823891948495,1.0
VERMICELLES PPX 10X1KG,0.6210057229013524,2.3382014973436087,244.0,0.5915823891948495,1.0
WINNY COQUILLETTES / ELBOWS 12,0.6059111897474403,2.2458882162805396,203.0,0.5915823891948495,1.0
WINNY MACARONI COUP 10x1KG,0.6562753330144662,1.4087867555609819,244.0,0.5915823891948495,1.0
WINNY PENNE RIGATE 12X1KG,0.6128015943657692,2.272079184657831,244.0,0.5915823891948495,1.0
WINNY TORSADES / SPIRALS 12X1K,0.6814979102471426,0.7957272949564025,203.0,0.5915823891948495,1.0
WINNY VERMICELLI 10x1KG,0.5029282811570729,2.4656137217046235,244.0,0.5915823891948495,1.0
NONE,0.0,0.0,1.0,1.0,0.0
MAINTENANCE,0.0,0.0,1.0,1.0,0.0
MEAN,0.5900975245367431,1.415532318007889,263.65,0.6395874153168439,0.975
