index,StartDateUTC,EndDateUTC
0,2016-01-23 17:04:02.843,2016-01-23 18:12:44.100
1,2016-01-23 18:12:44.100,2016-01-23 18:14:21.110
2,2016-01-23 18:14:21.110,2016-01-23 18:17:13.077
3,2016-01-23 18:17:13.077,2016-01-23 18:47:44.147
4,2016-01-23 18:47:44.147,2016-01-23 18:52:24.153
5,2016-01-23 18:52:24.153,2016-01-23 19:01:05.263
6,2016-01-23 19:01:05.263,2016-01-23 19:11:11.200
7,2016-01-23 19:11:11.200,2016-01-23 19:16:46.240
8,2016-01-23 19:16:46.240,2016-01-23 19:19:50.237
9,2016-01-23 19:19:50.237,2016-01-23 19:21:20.230
10,2016-01-23 19:21:20.230,2016-01-23 19:26:03.297
11,2016-01-23 19:26:03.297,2016-01-23 19:29:34.310
12,2016-01-23 19:29:34.310,2016-01-23 19:33:54.267
13,2016-01-23 19:33:54.267,2016-01-23 19:36:56.267
14,2016-01-23 19:36:56.267,2016-01-23 19:41:06.333
15,2016-01-23 19:41:06.333,2016-01-23 19:43:13.293
16,2016-01-23 19:43:13.293,2016-01-23 19:46:06.553
17,2016-01-23 19:46:06.553,2016-01-23 19:50:18.300
18,2016-01-23 19:50:18.300,2016-01-23 20:04:50.337
19,2016-01-23 20:04:50.337,2016-01-23 20:08:54.427
20,2016-01-23 20:08:54.427,2016-01-23 20:23:58.720
21,2016-01-23 20:23:58.720,2016-01-23 20:26:02.390
22,2016-01-23 20:26:02.390,2016-01-23 20:34:19.447
23,2016-01-23 20:34:19.447,2016-01-23 20:38:48.850
24,2016-01-23 20:38:48.850,2016-01-23 20:40:07.760
25,2016-01-23 20:40:07.760,2016-01-23 20:43:03.650
26,2016-01-23 20:43:03.650,2016-01-23 20:53:22.620
27,2016-01-23 20:53:22.620,2016-01-23 20:59:19.453
28,2016-01-23 20:59:19.453,2016-01-23 21:29:23.360
29,2016-01-23 21:29:23.360,2016-01-23 21:31:29.373
30,2016-01-23 21:31:29.373,2016-01-23 21:38:14.410
31,2016-01-23 21:38:14.410,2016-01-23 21:41:53.313
32,2016-01-23 21:41:53.313,2016-01-23 21:57:34.253
33,2016-01-23 21:57:34.253,2016-01-23 22:04:54.250
34,2016-01-23 22:04:54.250,2016-01-23 22:05:39.250
35,2016-01-23 22:05:39.250,2016-01-23 22:07:40.240
36,2016-01-23 22:07:40.240,2016-01-23 22:08:00.237
37,2016-01-23 22:08:00.237,2016-01-23 22:10:42.227
38,2016-01-23 22:10:42.227,2016-01-23 22:12:18.213
39,2016-01-23 22:12:18.213,2016-01-23 22:14:25.213
40,2016-01-23 22:14:25.213,2016-01-23 22:15:28.263
41,2016-01-23 22:15:28.263,2016-01-23 22:17:32.317
42,2016-01-23 22:17:32.317,2016-01-23 22:21:54.230
43,2016-01-23 22:21:54.230,2016-01-23 22:34:18.183
44,2016-01-23 22:34:18.183,2016-01-23 22:35:07.133
45,2016-01-23 22:35:07.133,2016-01-23 22:37:53.130
46,2016-01-23 22:37:53.130,2016-01-23 22:40:09.183
47,2016-01-23 22:40:09.183,2016-01-23 22:57:51.060
48,2016-01-23 22:57:51.060,2016-01-23 22:58:12.113
49,2016-01-23 22:58:12.113,2016-01-23 23:03:17.137
50,2016-01-23 23:03:17.137,2016-01-23 23:03:40.103
51,2016-01-23 23:03:40.103,2016-01-23 23:08:07.023
52,2016-01-23 23:08:07.023,2016-01-23 23:15:19.993
53,2016-01-23 23:15:19.993,2016-01-23 23:19:16.993
54,2016-01-23 23:19:16.993,2016-01-23 23:31:49.950
55,2016-01-23 23:31:49.950,2016-01-23 23:36:47.930
56,2016-01-23 23:36:47.930,2016-01-23 23:57:34.850
57,2016-01-23 23:57:34.850,2016-01-23 23:59:44.853
58,2016-01-23 23:59:44.853,2016-01-24 00:07:27.937
59,2016-01-24 00:07:27.937,2016-01-24 00:10:40.820
60,2016-01-24 00:10:40.820,2016-01-24 00:15:41.787
61,2016-01-24 00:15:41.787,2016-01-24 00:22:01.777
62,2016-01-24 00:22:01.777,2016-01-24 00:28:32.787
63,2016-01-24 00:28:32.787,2016-01-24 00:33:24.767
64,2016-01-24 00:33:24.767,2016-01-24 00:35:39.727
65,2016-01-24 00:35:39.727,2016-01-24 00:38:04.740
66,2016-01-24 00:38:04.740,2016-01-24 00:57:53.643
67,2016-01-24 00:57:53.643,2016-01-24 01:00:50.637
68,2016-01-24 01:00:50.637,2016-01-24 01:16:38.580
69,2016-01-24 01:16:38.580,2016-01-24 01:22:46.577
70,2016-01-24 01:22:46.577,2016-01-24 01:27:01.603
71,2016-01-24 01:27:01.603,2016-01-24 01:32:59.547
72,2016-01-24 01:32:59.547,2016-01-24 01:42:07.490
73,2016-01-24 01:42:07.490,2016-01-24 01:44:40.530
74,2016-01-24 01:44:40.530,2016-01-24 01:49:41.593
75,2016-01-24 01:49:41.593,2016-01-24 01:51:48.527
76,2016-01-24 01:51:48.527,2016-01-24 02:18:42.457
77,2016-01-24 02:18:42.457,2016-01-24 02:22:47.383
78,2016-01-24 02:22:47.383,2016-01-24 02:31:34.337
79,2016-01-24 02:31:34.337,2016-01-24 02:34:54.370
80,2016-01-24 02:34:54.370,2016-01-24 02:45:12.303
81,2016-01-24 02:45:12.303,2016-01-24 03:11:11.380
82,2016-01-24 03:11:11.380,2016-01-24 03:13:33.200
83,2016-01-24 03:13:33.200,2016-01-24 03:22:03.400
84,2016-01-24 03:22:03.400,2016-01-24 03:22:53.267
85,2016-01-24 03:22:53.267,2016-01-24 03:31:42.230
86,2016-01-24 03:31:42.230,2016-01-24 03:34:10.130
87,2016-01-24 03:34:10.130,2016-01-24 03:41:14.130
88,2016-01-24 03:41:14.130,2016-01-24 03:46:41.087
89,2016-01-24 03:46:41.087,2016-01-24 03:56:29.150
90,2016-01-24 03:56:29.150,2016-01-24 03:56:50.067
91,2016-01-24 03:56:50.067,2016-01-24 04:20:27.050
92,2016-01-24 04:20:27.050,2016-01-24 04:37:55.927
93,2016-01-24 04:37:55.927,2016-01-24 04:47:14.933
94,2016-01-24 04:47:14.933,2016-01-24 04:51:55.920
95,2016-01-24 04:51:55.920,2016-01-24 04:54:49.873
96,2016-01-24 04:54:49.873,2016-01-24 05:15:43.880
97,2016-01-24 05:15:43.880,2016-01-24 05:25:42.767
98,2016-01-24 05:25:42.767,2016-01-24 06:43:12.040
99,2016-01-24 06:43:12.040,2016-01-24 06:45:19.120
100,2016-01-24 06:45:19.120,2016-01-24 06:47:59.990
101,2016-01-24 06:47:59.990,2016-01-24 06:50:48.090
102,2016-01-24 06:50:48.090,2016-01-24 07:39:16.160
103,2016-01-24 07:39:16.160,2016-01-24 07:42:34.120
104,2016-01-24 07:42:34.120,2016-01-24 08:04:09.200
105,2016-01-24 08:04:09.200,2016-01-24 08:14:44.220
106,2016-01-24 08:14:44.220,2016-01-24 08:33:57.270
107,2016-01-24 08:33:57.270,2016-01-24 08:37:21.473
108,2016-01-24 08:37:21.473,2016-01-24 08:50:22.317
109,2016-01-24 08:50:22.317,2016-01-24 08:56:40.327
110,2016-01-24 08:56:40.327,2016-01-24 09:47:17.520
111,2016-01-24 09:47:17.520,2016-01-24 09:49:36.470
112,2016-01-24 09:49:36.470,2016-01-24 09:52:10.553
113,2016-01-24 09:52:10.553,2016-01-24 09:56:37.507
114,2016-01-24 09:56:37.507,2016-01-24 09:57:11.480
115,2016-01-24 09:57:11.480,2016-01-24 09:59:33.507
116,2016-01-24 09:59:33.507,2016-01-24 10:43:42.613
117,2016-01-24 10:43:42.613,2016-01-24 12:16:28.843
118,2016-01-24 12:16:28.843,2016-01-24 12:18:23.870
119,2016-01-24 12:18:23.870,2016-01-24 12:22:50.877
120,2016-01-24 12:22:50.877,2016-01-24 12:55:58.957
121,2016-01-24 12:55:58.957,2016-01-24 12:58:37.947
122,2016-01-24 12:58:37.947,2016-01-24 13:04:00.973
123,2016-01-24 13:04:00.973,2016-01-24 14:35:32.230
124,2016-01-24 14:35:32.230,2016-01-24 14:41:17.207
125,2016-01-24 14:41:17.207,2016-01-24 15:05:54.287
126,2016-01-24 15:05:54.287,2016-01-24 15:21:43.200
127,2016-01-24 15:21:43.200,2016-01-24 15:23:49.213
128,2016-01-24 15:23:49.213,2016-01-24 15:34:55.240
129,2016-01-24 15:34:55.240,2016-01-24 15:37:42.243
130,2016-01-24 15:37:42.243,2016-01-24 15:38:19.250
131,2016-01-24 15:38:19.250,2016-01-24 15:40:26.263
132,2016-01-24 15:40:26.263,2016-01-24 16:22:19.447
133,2016-01-24 16:22:19.447,2016-01-24 16:25:12.370
134,2016-01-24 16:25:12.370,2016-01-24 16:26:23.380
135,2016-01-24 16:26:23.380,2016-01-24 16:29:11.413
136,2016-01-24 16:29:11.413,2016-01-24 17:12:25.683
137,2016-01-24 17:12:25.683,2016-01-24 17:19:04.517
138,2016-01-24 17:19:04.517,2016-01-24 17:19:37.623
139,2016-01-24 17:19:37.623,2016-01-24 17:24:08.543
140,2016-01-24 17:24:08.543,2016-01-24 17:33:47.543
141,2016-01-24 17:33:47.543,2016-01-24 17:35:51.610
142,2016-01-24 17:35:51.610,2016-01-24 18:05:51.627
143,2016-01-24 18:05:51.627,2016-01-24 18:08:30.703
144,2016-01-24 18:08:30.703,2016-01-24 18:16:02.717
145,2016-01-24 18:16:02.717,2016-01-24 18:18:21.770
146,2016-01-24 18:18:21.770,2016-01-24 18:28:39.683
147,2016-01-24 18:28:39.683,2016-01-24 18:32:34.693
148,2016-01-24 18:32:34.693,2016-01-24 18:43:05.737
149,2016-01-24 18:43:05.737,2016-01-24 18:48:54.773
150,2016-01-24 18:48:54.773,2016-01-24 19:34:47.847
151,2016-01-24 19:34:47.847,2016-01-24 19:38:25.933
152,2016-01-24 19:38:25.933,2016-01-24 19:42:45.873
153,2016-01-24 19:42:45.873,2016-01-24 19:45:20.887
154,2016-01-24 19:45:20.887,2016-01-24 19:49:04.963
155,2016-01-24 19:49:04.963,2016-01-24 19:53:01.937
156,2016-01-24 19:53:01.937,2016-01-24 20:04:09.013
