ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
62082,8.145833333,9.307194311,45000,00:42.6,19:08.5,ELLEBOOGMACARONI,ELLEBOOGJE,47:14.1,47:14.1,6000,0.091342641,0.109431342,1
62523,6.289166667,7.232464186,35000,03:32.2,17:29.1,ELLEBOOGMACARONI,ELLEBOOGJE,14:52.2,14:52.2,6000,0.06228705,0.133000741,3
61969,6.435555556,8.790342029,35000,00:00.0,47:25.2,KLEIN HORENTJE H/Z 10/90,HORENTJE,08:12.9,08:12.9,6000,0.051357935,0.12619285,9
62179,5.408055556,6.433839549,30000,19:08.5,45:10.4,"KLEIN HORENTJE DURUM AS 1,1%",HORENTJE,32:24.9,32:24.9,6000,0.069664205,0.147702716,9
62253,5.217777778,6.138351059,35000,36:24.4,44:42.4,HELICES EXTRA SBS,HORENTJE,49:48.4,49:48.4,6000,0.09488109,0.08970535,1
62214,6.491388889,7.517994304,35000,28:36.3,59:41.0,KLEIN HORENTJE H/Z 10/90,HORENTJE,05:50.4,05:50.4,6000,0.056141434,0.094984028,3
62259,5.82,6.824541132,35000,59:41.0,49:09.4,HORENTJES KDO,HORENTJE,23:13.7,23:13.7,6000,0.05627705,0.106023353,6
62495,5.966388889,7.282694976,35000,09:11.6,26:09.3,HORENTJE H/Z 10/90,HORENTJE,06:35.5,06:35.5,6000,0.053830302,0.111362209,3
62496,6.399722222,7.623024063,35000,26:09.3,03:32.2,"KLEIN HORENTJE DURUM AS 1,1%",HORENTJE,39:59.5,39:59.5,6000,0.083831672,0.147774338,4
62528,6.551666667,7.691446857,35000,22:37.8,04:07.0,KLEIN HORENTJE H/Z 10/90,HORENTJE,54:36.7,54:36.7,6000,0.087277708,0.11391405,3
62628,5.679444444,6.629805267,35000,49:22.2,27:09.5,HORENTJE H/Z 10/90,HORENTJE,29:11.5,29:11.5,6000,0.057376677,0.110769005,4
62854,6.124444444,7.105276115,35000,36:02.8,42:21.8,HORENTJES H/Z 60/40,HORENTJE,19:09.2,19:09.2,6000,0.099978049,0.098357411,5
62850,6.446111111,7.469372496,35000,42:21.8,10:31.5,KLEIN HORENTJE H/Z 10/90,HORENTJE,47:58.6,47:58.6,6000,0.051266804,0.127845064,6
62904,6.445277778,7.856668415,35000,03:36.3,55:00.3,KLEIN HORENTJE H/Z 10/90,HORENTJE,01:01.4,01:01.4,6000,0.071432864,0.148169743,2
63062,8.678611111,9.983840686,50000,15:25.9,14:27.8,HORENTJES EXTRA,HORENTJE,34:30.7,34:30.7,6000,0.077743559,0.104009081,7
63110,5.820277778,6.822322137,35000,52:03.0,41:23.4,HORENTJE H/Z 10/90,HORENTJE,56:30.9,56:30.9,6000,0.050484196,0.126329769,5
61962,4.339166667,5.221499697,40000,47:25.2,00:42.6,"GESNEDEN MACARONI AS 0,9%",MACARONI,05:35.7,05:35.7,6000,0.074489824,0.131078617,9
62022,10.66333333,12.3488921,35000,45:10.4,06:06.4,MACARONI QC LM 70/30 HARD/ZACH,MACARONI,29:49.7,29:49.7,3000,0.059773625,0.083024256,2
62217,6.1925,7.252256859,35000,44:42.4,59:50.5,MACARONI KORT PLATTE ZAK,MACARONI,57:33.1,57:33.1,6000,0.068124449,0.139529102,8
0,0,3.813833361,3.813833361,13:56.9,02:46.7,MAINTENANCE,NONE,1677-09-21 00:12:43.145225000,47:16.9,1,0,0,0
62402,5.972777778,6.992709802,35000,14:23.1,13:56.9,MACARONI KORT EXTRA,MACARONI,12:35.1,12:35.1,6000,0.055281577,0.12541355,4
