,MACARONI,NONE,PENNE,HORENTJE,ZITTI,SPIRELLI,VERMICELLI,Other,ELLEBOOGJES,MIE
MACARONI,2320.766295379538,4872.28453176415,10092.746146861633,10851.706755099181,20091.1206660924,11896.924848317944,18029.226260498,25217.2565635283,10155.375611147349,12694.089896861633
NONE,6822.092493810354,4686.805365097483,5220.461615097483,5979.422223335031,15218.836134328252,7024.640316553794,13156.941728733847,20344.972031764148,5283.091079383198,7821.805365097483
PENNE,12120.234492571204,5298.14199876085,1144.9928836633662,11277.564222095882,20516.978133089102,12322.782315314644,18455.083727494697,25643.114030525,10581.233078144047,13119.947363858333
HORENTJE,11707.219287479267,4885.126793668912,10105.588408766396,1490.9382868089765,20103.962927997163,11909.767110222707,18042.068522402762,25230.098825433062,10168.21787305211,12706.932158766394
ZITTI,22643.580398590377,15821.487904780022,21041.949519877504,21800.910128115054,21666.713308913306,22846.128221333816,28978.42963351387,36166.45993654417,21104.57898416322,23643.293269877504
SPIRELLI,11812.858643221563,4990.766149411209,10211.227764508692,10970.188372746241,20209.602283739463,2641.795735770036,18147.707878145055,25335.73818117536,10273.857228794406,12812.571514508692
VERMICELLI,11805.20897001895,4983.116476208595,10203.578091306077,10962.538699543626,20201.952610536846,12007.75679276239,8766.447474747474,25328.088507972745,10266.207555591793,12804.921841306077
Other,11708.719287479267,4886.626793668912,10107.088408766396,10866.049017003943,20105.462927997163,11911.267110222707,18043.568522402762,15857.988095238095,10169.71787305211,12708.432158766394
ELLEBOOGJES,11691.564525574504,4869.47203176415,10089.933646861633,10848.894255099181,20088.3081660924,11894.112348317944,18026.413760498,25214.4440635283,778.952380952381,12691.277396861633
MIE,11508.897858907838,4686.805365097483,9907.266980194967,10666.227588432515,19905.641499425736,11711.445681651277,17843.74709383133,25031.77739686163,9969.89644448068,3135.0
