,000000EU,FF011501,FF012201,FF014202,FF025001,FF025201,FF025205,FF025305,FF025315,FF025450,FF025460,FF027206,FF027216,FF027401,FF027601,FF029001,FF029101,FF029201,FF035105,FF035902,FF036102,FF036103,FF036110,FF038001,FF042201,FF044001,FF044005,FF044101,FF044301,FF044302,FF049360,FF049361,FF049386,FF049390,FF082005,FF104421,FF125220,FF144220,FF144616,FF145300,FF145420,FF174906,FF174936
000000EU,0.0,359.0,126.0,128.0,384.5,150.0,126.0,127.0,737.5,147.0,3408.0,125.5,3408.0,405.0,3408.0,154.0,739.0,127.0,127.0,125.5,142.5,125.5,126.5,2413.0,3408.0,155.0,3408.0,151.5,127.5,3408.0,167.0,605.0,126.0,3408.0,128.0,125.0,127.0,0.0,145.5,128.0,65.5,141.0,127.0
FF011501,32.5,485.0,1040.0,321.0,1136.06,365.0,1205.007,319.0,1540.0,1082.0,0.0,316.0,6881.0,420.0,6881.0,1065.983,1543.0,1296.505,319.0,7.996,1215.0,1798.17,1755.5315,4891.0,1387.0,375.0,6881.0,617.502,2250.063,6881.0,25864.01,20943.5335,317.0,6881.0,1251.05,5.0,3525.0,1572.773,356.0,2278.4965,196.0,347.0,12572.0
FF012201,0.0,1091.5549999999998,126.0,256.0,769.0,300.0,1385.9965,254.0,810.5,1743.4865,810.0,30203.0,121.9985,1074.0035,9997.0,308.0,1478.0,1136.4965,254.0,1005.0,285.0,2055.993,253.0,4826.0,6816.0,1182.9769999999999,6816.0,761.0,255.0,6816.0,334.0,6790.0,252.0,528.993,893.0029999999999,1347.0030000000002,1429.0,1085.0065,291.0,1187.0,1045.0,39349.0,864.0
FF014202,157.0,1687.996,566.0,285.0,1083.0,1396.0030000000002,4.503,0.0,1789.0,608.0,7130.0,565.0,7130.0,1124.0,7130.0,622.0,737.0,568.0,568.0,565.0,1635.997,1241.057,833.006,5140.0,7130.0,624.0,7130.0,617.0,569.0,7130.0,648.0,1524.0,566.0,7130.0,570.0,564.0,3343.0,314.0,605.0,570.0,445.0,596.0,568.0
FF025001,0.0,1450.94,252.0,256.0,384.5,300.0,1342.5,254.0,1475.0,294.0,6816.0,251.0,6816.0,810.0,6816.0,308.0,5.992999999999999,254.0,2161.49,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,6816.0,334.0,1210.0,252.0,6816.0,972.0,250.0,254.0,0.0,291.0,256.0,131.0,282.0,254.0
FF025201,0.0,718.0,1350.025,256.0,367.99,150.0,252.0,670.0,1195.5,294.0,6816.0,251.0,7850.0,810.0,6816.0,308.0,83.005,1263.0,254.0,1010.006,285.0,1606.0,1335.0,4826.0,791.0,310.0,6816.0,303.0,1113.81,10.892999999999999,334.0,1210.0,252.0,6816.0,1067.006,250.0,254.0,1060.9965,291.0,256.0,647.757,282.0,254.0
FF025205,0.0,1189.005,1034.3085,1756.9229999999998,769.0,1095.355,126.0,2233.2264999999998,988.06,1566.0,2409.0,251.0,6816.0,1279.9119999999998,6816.0,637.5285,1242.0,991.1614999999999,772.99,1171.5015,1389.0385,922.4965,1442.028,4826.0,4429.0,891.0,6816.0,1593.0,1098.0,6816.0,334.0,15472.9965,252.0,6816.0,1413.005,250.0,4214.0,964.813,291.0,1114.837,922.0,282.0,8073.030000000001
FF025305,0.0,1080.04,1008.5085,256.0,769.0,300.0,1394.846,127.0,1475.0,294.0,6816.0,251.0,6816.0,810.0,6816.0,643.0129999999999,959.0,3079.023,1231.9450000000002,251.0,1718.903,1118.385,1358.033,4826.0,1843.0,310.0,6816.0,303.0,1813.367,6816.0,334.0,1210.0,252.0,6816.0,256.0,250.0,1445.99,0.0,291.0,1576.853,893.0,282.0,254.0
FF025315,0.0,718.0,1046.0,256.0,1145.183,943.993,1287.06,1270.34,737.5,970.0,6816.0,251.0,6816.0,1089.0,6816.0,1318.438,1197.004,254.0,1.4985,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,1534.134,255.0,963.0,334.0,1210.0,252.0,6816.0,256.0,250.0,1145.0,0.0,291.0,256.0,131.0,282.0,254.0
FF025450,0.0,970.0,10203.5,256.0,1785.587,300.0,828.0,2106.0,1610.41,0.0,588.0,251.0,6816.0,1648.0929999999998,6816.0,1001.4515,1253.92,1375.7235,1457.0515,1190.0059999999999,708.043,983.0,1633.597,4826.0,1336.0639999999999,2054.73,6816.0,303.0,1145.013,444.99,334.0,672.0,252.0,35097.5035,1452.153,250.0,1936.5065,1388.0415,490.01,1088.997,131.0,282.0,254.0
FF025460,381.0,1480.0,1172.9969999999998,1018.0,1531.0,1228.0,1014.0,1016.0,2237.0,0.0,3789.0,1013.0,7578.0,1572.0,7578.0,1070.0,569.0,1016.0,1016.0,1013.0,1441.0,1013.0,1015.0,5588.0,1011.006,1072.0,7578.0,1065.0,1205.0,7578.0,1096.0,8629.0,1014.0,7578.0,1018.0,1012.0,1016.0,762.0,1053.0,1018.0,1169.99,1044.0,1016.0
FF027206,0.0,718.0,6768.993,256.0,769.0,300.0,252.0,254.0,1475.0,294.0,6816.0,624.0,74263.502,810.0,1241.057,308.0,1478.0,254.0,254.0,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,6816.0,1872.01,1210.0,1646.5545,3915.047,256.0,250.0,254.0,0.0,291.0,256.0,131.0,2324.193,2898.0
FF027216,381.0,1480.0,4751.007,1018.0,1531.0,1062.0,1014.0,1016.0,2237.0,1056.0,7578.0,1013.0,3789.0,1572.0,7578.0,1070.0,2240.0,1016.0,1016.0,1013.0,1047.0,1013.0,1015.0,5588.0,7578.0,1072.0,7578.0,1065.0,1017.0,7578.0,1096.0,871.004,1014.0,2303.88,1018.0,1012.0,1016.0,762.0,1053.0,1018.0,893.0,1044.0,1016.0
FF027401,23.0,1302.037,1200.987,302.0,1171.007,346.0,836.86,300.0,1521.0,956.0029999999999,6862.0,297.0,5915.01,428.0,6862.0,354.0,2640.0,1132.013,300.0,297.0,1225.0,1170.025,2352.5,4872.0,1719.0,356.0,6862.0,349.0,301.0,6862.0,380.0,1256.0,298.0,6862.0,491.0,296.0,300.0,46.0,337.0,302.0,177.0,328.0,300.0
FF027601,0.0,718.0,1859.0,256.0,769.0,300.0,252.0,254.0,1475.0,294.0,6816.0,251.0,6816.0,810.0,3408.0,308.0,1478.0,254.0,254.0,251.0,285.0,251.0,253.0,4826.0,6816.0,310.0,6816.0,303.0,255.0,6816.0,334.0,1116.0,252.0,6816.0,256.0,250.0,254.0,0.0,291.0,256.0,131.0,282.0,56529.997
FF029001,0.0,1707.99,1230.0,256.0,769.0,300.0,1291.917,254.0,1042.0529999999999,1348.0,6816.0,251.0,6816.0,810.0,6816.0,154.0,890.5615,1256.844,924.0,1196.603,285.0,3234.9015,1336.01,4826.0,2717.0,310.0,6816.0,303.0,255.0,6816.0,334.0,1210.0,252.0,11107.006,1387.0,1074.0,254.0,0.0,291.0,256.0,131.0,282.0,254.0
FF029101,0.0,1117.4965,1630.0,1625.0,769.0,1391.0,252.0,530.863,1475.0,1327.492,1372.0,251.0,6816.0,810.0,6816.0,1187.6535,739.0,1999.0,254.0,251.0,852.04,3687.0,836.4935,4826.0,6816.0,930.0,6816.0,1846.4065,255.0,6816.0,334.0,1210.0,252.0,6816.0,1639.495,250.0,254.0,1133.0,291.0,946.0369999999999,131.0,282.0,254.0
FF029201,0.0,1761.5745000000002,252.0,1496.0,453.0,300.0,1290.5165,1170.0700000000002,1475.0,667.865,6816.0,251.0,6816.0,821.017,6816.0,308.0,1291.043,127.0,1476.547,251.0,1383.0,516.5070000000001,253.0,4826.0,1644.747,329.02,6816.0,303.0,848.0,6816.0,334.0,1210.0,252.0,6816.0,901.2869999999999,3248.0,254.0,1606.05,291.0,376.126,1503.0,282.0,254.0
FF035105,0.0,1143.5035,1776.0,1091.223,769.0,983.4985,1347.224,1397.9070000000002,1129.0095000000001,989.547,6816.0,8657.0,6816.0,810.0,6816.0,308.0,1201.0,946.01,443674.0115,251.0,285.0,1147.0245,761.033,4826.0,1899.01,310.0,6816.0,303.0,1333.993,6816.0,334.0,1210.0,252.0,6816.0,1247.9915,250.0,254.0,0.0,99417.01,256.0,1180.5065,282.0,254.0
FF035902,61.0,1876.037,374.0,378.0,891.0,422.0,374.0,993.0070000000001,1597.0,416.0,1076.0,373.0,6938.0,935.0,6938.0,430.0,1398.0,376.0,376.0,186.5,407.0,1023.0640000000001,375.0,4948.0,6938.0,432.0,6938.0,425.0,377.0,6938.0,456.0,1332.0,374.0,6938.0,378.0,372.0,376.0,122.0,413.0,378.0,253.0,404.0,376.0
FF036102,104.0,1143.993,460.0,464.0,977.0,996.4134999999999,1542.0,0.0,1683.0,502.0,2100.0,459.0,7024.0,688.533,7024.0,516.0,1249.0539999999999,462.0,462.0,459.0,246.5,2.7114999999999996,1618.2935,5034.0,7024.0,518.0,7024.0,1716.114,463.0,7024.0,542.0,1418.0,460.0,7024.0,2155.1099999999997,458.0,462.0,208.0,499.0,464.0,1116.763,490.0,462.0
FF036103,0.0,1072.0,1265.5065,256.0,769.0,300.0,1195.0,1009.9929999999999,2048.947,1351.0,1124.007,251.0,6816.0,1209.01,6816.0,1339.297,1361.4405000000002,1186.0,771.435,251.0,9.07,125.5,532.0,4826.0,1287.3885,1227.12,6816.0,2121.993,637.1800000000001,0.0,334.0,1210.0,252.0,6816.0,1450.097,1250.99,1382.0,842.5,291.0,256.0,131.0,282.0,1093.0
FF036110,0.0,718.0,1694.9585,1154.99,1304.153,1618.05,1450.964,254.0,1475.0,1023.0,6816.0,251.0,961.983,1200.0,6816.0,308.0,1478.0,254.0,965.0035,251.0,462.98699999999997,1541.0,126.5,4826.0,6816.0,3060.0,6816.0,912.027,1137.0,6816.0,334.0,1210.0,252.0,322346.0,256.0,250.0,254.0,0.0,11844.0,1459.9969999999998,2099.0060000000003,282.0,254.0
FF038001,381.0,1480.0,1014.0,1018.0,1531.0,1062.0,1014.0,1016.0,2237.0,1343.99,7578.0,1013.0,7578.0,1572.0,7578.0,1070.0,2240.0,1016.0,1016.0,1013.0,5.013,1013.0,1015.0,2794.0,7578.0,1072.0,1079.0,1065.0,1017.0,7578.0,1096.0,1972.0,1014.0,7578.0,1018.0,1012.0,1016.0,762.0,1053.0,1018.0,893.0,1044.0,1016.0
