,000000EU,FF011501,FF012201,FF014202,FF025001,FF025201,FF025205,FF025305,FF025315,FF025450,FF025460,FF027206,FF027216,FF027401,FF027601,FF029001,FF029101,FF029201,FF035105,FF035902,FF036102,FF036103,FF036110,FF038001,FF042201,FF044001,FF044005,FF044101,FF044301,FF044302,FF049360,FF049361,FF049386,FF049390,FF082005,FF104421,FF125220,FF144220,FF144616,FF145300,FF145420,FF174906,FF174936
000000EU,0.0,359.0,126.0,128.0,384.5,150.0,126.0,127.0,737.5,147.0,,125.5,,405.0,,154.0,739.0,127.0,127.0,125.5,142.5,125.5,126.5,2413.0,,155.0,,151.5,127.5,,167.0,605.0,126.0,3408.0,128.0,125.0,127.0,0.0,145.5,128.0,65.5,141.0,127.0
FF011501,32.5,485.0,1040.0,,1136.06,,1205.007,,,1082.0,0.0,,,420.0,,1065.983,,1296.505,,7.996,1215.0,1798.17,1755.5315,,1387.0,,,617.502,2250.063,,25864.01,20943.5335,,,1251.05,5.0,3525.0,1572.773,,2278.4965,,,12572.0
FF012201,0.0,1091.5549999999998,,,,,1385.9965,,810.5,1743.4865,810.0,30203.0,121.9985,1074.0035,9997.0,,,1136.4965,,1005.0,,2055.993,,,,1182.9769999999999,,761.0,,,,6790.0,,528.993,893.0029999999999,1347.0030000000002,1429.0,1085.0065,,1187.0,1045.0,39349.0,864.0
FF014202,157.0,1687.996,,,,1396.0030000000002,4.503,0.0,,,,,,,,,737.0,,,,1635.997,1241.057,833.006,,,,,,,,,,,,,,3343.0,,,,,,
FF025001,0.0,1450.94,,,,,1342.5,,,,,,,,,,5.992999999999999,,2161.49,,,,,,,,,,,,,,,,972.0,,,,,,,,
FF025201,0.0,,1350.025,,367.99,,,670.0,1195.5,,,,7850.0,,,,83.005,1263.0,,1010.006,,1606.0,1335.0,,791.0,,,,1113.81,10.892999999999999,,,,,1067.006,,,1060.9965,,,647.757,,
FF025205,0.0,1189.005,1034.3085,1756.9229999999998,,1095.355,,2233.2264999999998,988.06,1566.0,2409.0,,,1279.9119999999998,,637.5285,1242.0,991.1614999999999,772.99,1171.5015,1389.0385,922.4965,1442.028,,4429.0,891.0,,1593.0,1098.0,,,15472.9965,,,1413.005,,4214.0,964.813,,1114.837,922.0,,8073.030000000001
FF025305,0.0,1080.04,1008.5085,,,,1394.846,,,,,,,,,643.0129999999999,959.0,3079.023,1231.9450000000002,,1718.903,1118.385,1358.033,,1843.0,,,,1813.367,,,,,,,,1445.99,,,1576.853,893.0,,
FF025315,0.0,,1046.0,,1145.183,943.993,1287.06,1270.34,,970.0,,,,1089.0,,1318.438,1197.004,,1.4985,,,,,,,,,1534.134,,963.0,,,,,,,1145.0,,,,,,
FF025450,0.0,970.0,10203.5,,1785.587,,828.0,2106.0,1610.41,0.0,588.0,,,1648.0929999999998,,1001.4515,1253.92,1375.7235,1457.0515,1190.0059999999999,708.043,983.0,1633.597,,1336.0639999999999,2054.73,,,1145.013,444.99,,672.0,,35097.5035,1452.153,,1936.5065,1388.0415,490.01,1088.997,,,
