ID,Duration,Start,End,Power
1,5.46,2016-01-19 14:21:43.910,2016-01-19 19:49:13.530,42.04
2,5.75,2016-01-21 09:56:40.027,2016-01-21 15:41:56.267,32.04
3,6.06,2016-01-21 16:08:34.180,2016-01-21 22:12:24.967,35.41
4,5.75,2016-01-21 22:39:55.343,2016-01-22 04:25:00.480,39.02
5,5.15,2016-01-22 04:56:05.187,2016-01-22 10:05:12.223,40.31
6,16.53,2016-01-22 21:58:59.087,2016-01-23 14:30:54.960,32.97
7,6.14,2016-01-24 22:41:58.087,2016-01-25 04:50:24.490,38.28
8,6.62,2016-01-25 04:51:20.937,2016-01-25 11:28:46.800,46.67
9,5.27,2016-01-25 12:51:13.530,2016-01-25 18:07:20.987,35.91
10,7.29,2016-01-25 18:16:13.003,2016-01-26 01:33:29.887,48.2
11,5.36,2016-01-26 01:33:33.390,2016-01-26 06:54:54.323,47.66
12,7.85,2016-01-26 07:22:05.993,2016-01-26 15:12:49.977,34.16
13,6.16,2016-01-26 15:25:55.597,2016-01-26 21:35:32.737,33.95
14,6.16,2016-01-26 21:35:37.407,2016-01-27 03:45:13.633,42.97
15,5.68,2016-01-27 05:05:26.030,2016-01-27 10:46:04.190,48.14
16,7.31,2016-01-27 11:11:29.337,2016-01-27 18:29:51.983,41.62
17,5.34,2016-01-27 18:47:50.180,2016-01-28 00:08:03.967,33.72
18,5.4,2016-01-28 00:08:07.847,2016-01-28 05:32:08.587,36.17
19,5.27,2016-01-28 05:57:21.390,2016-01-28 11:13:19.440,49.46
20,5.92,2016-01-28 11:40:28.080,2016-01-28 17:35:40.903,37.14
21,5.07,2016-01-28 23:44:07.163,2016-01-29 04:48:31.877,37.2
22,14.97,2016-01-29 19:25:55.800,2016-01-30 10:23:51.200,38.87
23,22.83,2016-01-30 10:51:42.587,2016-01-31 09:41:13.693,41.37
24,5.65,2016-02-01 05:03:33.167,2016-02-01 10:42:32.207,39.53
25,6.92,2016-02-01 10:42:37.023,2016-02-01 17:37:37.293,41.41
26,5.36,2016-02-01 18:05:56.793,2016-02-01 23:27:30.203,49.2
27,7.29,2016-02-01 23:27:33.803,2016-02-02 06:45:14.700,30.13
28,9.99,2016-02-02 07:07:29.350,2016-02-02 17:06:51.180,39.51
29,5.13,2016-02-02 17:26:27.037,2016-02-02 22:33:59.503,47.68
30,5.07,2016-02-02 22:34:04.140,2016-02-03 03:38:00.673,48.69
31,7.5,2016-02-03 03:38:04.180,2016-02-03 11:08:16.007,45.02
32,5.4,2016-02-03 08:27:43.843,2016-02-03 13:51:41.163,38.23
33,5.5,2016-02-03 14:11:51.800,2016-02-03 19:41:52.950,37.2
34,5.55,2016-02-03 19:50:41.580,2016-02-04 01:23:54.267,39.65
35,6.05,2016-02-04 01:23:57.963,2016-02-04 07:26:40.833,32.59
36,8.52,2016-02-04 07:38:54.973,2016-02-04 16:09:56.110,32.94
37,5.05,2016-02-04 16:11:13.877,2016-02-04 21:14:10.063,44.58
38,86.25,2016-02-04 21:14:15.710,2016-02-08 11:29:03.510,47.75
39,30.95,2016-02-05 05:56:15.180,2016-02-06 12:53:12.613,39.67
40,9.91,2016-02-06 13:33:09.150,2016-02-06 23:27:42.610,48.93
41,5.64,2016-02-08 05:15:32.893,2016-02-08 10:53:54.647,30.15
42,5.4,2016-02-08 11:10:29.337,2016-02-08 16:34:26.907,44.1
43,5.4,2016-02-08 16:34:31.690,2016-02-08 21:58:16.983,39.12
44,7.76,2016-02-08 21:58:23.533,2016-02-09 05:44:13.297,42.41
45,6.0,2016-02-09 06:09:22.927,2016-02-09 12:09:28.140,39.71
46,6.63,2016-02-09 12:37:32.447,2016-02-09 19:15:32.270,41.56
47,6.03,2016-02-09 19:15:35.680,2016-02-10 01:17:19.783,39.68
48,8.48,2016-02-10 01:20:56.450,2016-02-10 09:49:40.033,45.22
49,5.56,2016-02-10 10:04:05.317,2016-02-10 15:37:30.550,30.01
50,5.11,2016-02-10 15:37:34.030,2016-02-10 20:44:25.143,31.39
51,6.27,2016-02-11 19:57:23.040,2016-02-12 02:13:34.240,49.22
52,5.07,2016-02-12 02:13:38.093,2016-02-12 07:18:04.743,39.77
53,7.28,2016-02-12 07:41:35.943,2016-02-12 14:58:31.553,45.63
54,5.32,2016-02-12 14:58:35.720,2016-02-12 20:17:52.620,46.72
55,5.55,2016-02-12 20:17:56.797,2016-02-13 01:51:04.813,43.88
56,16.58,2016-02-13 04:27:06.083,2016-02-13 21:01:47.157,45.08
57,10.15,2016-02-13 22:56:23.093,2016-02-14 09:05:37.373,46.91
58,10.22,2016-02-14 09:23:04.357,2016-02-14 19:36:33.503,36.66
59,5.12,2016-02-15 15:07:04.343,2016-02-15 20:14:19.060,32.17
60,6.28,2016-02-15 20:14:26.593,2016-02-16 02:31:07.220,31.04
61,5.57,2016-02-16 02:41:01.507,2016-02-16 08:15:01.617,47.1
62,34.92,2016-02-16 08:24:27.450,2016-02-17 19:19:21.463,38.77
63,6.12,2016-02-17 19:42:25.343,2016-02-18 01:49:21.780,45.7
64,7.7,2016-02-18 01:49:25.337,2016-02-18 09:31:27.643,36.47
65,12.24,2016-02-18 09:31:34.653,2016-02-18 21:45:45.507,36.87
66,6.75,2016-02-18 21:45:49.377,2016-02-19 04:30:59.727,42.0
67,5.39,2016-02-19 05:03:30.863,2016-02-19 10:26:49.823,39.25
68,5.31,2016-02-19 10:29:33.580,2016-02-19 15:48:15.553,39.78
69,7.36,2016-02-21 22:30:36.397,2016-02-22 05:52:20.817,49.24
70,6.02,2016-02-22 06:16:02.140,2016-02-22 12:17:18.643,30.79
71,10.34,2016-02-22 12:39:14.970,2016-02-22 22:59:32.153,36.72
72,6.1,2016-02-22 22:59:38.573,2016-02-23 05:05:26.340,39.15
73,6.77,2016-02-23 05:37:26.830,2016-02-23 12:23:30.273,41.9
74,5.26,2016-02-24 17:57:36.420,2016-02-24 23:13:06.170,49.22
75,6.88,2016-02-24 23:13:10.407,2016-02-25 06:05:56.687,46.41
76,5.49,2016-02-25 06:24:47.290,2016-02-25 11:54:15.073,49.01
77,5.31,2016-02-25 11:55:51.323,2016-02-25 17:14:37.770,38.1
78,12.78,2016-02-25 17:36:32.510,2016-02-26 06:23:12.510,47.82
79,8.56,2016-02-26 06:55:46.543,2016-02-26 15:29:11.770,44.5
80,17.38,2016-02-26 18:09:44.967,2016-02-27 11:32:29.690,35.36
81,9.78,2016-02-27 11:50:47.993,2016-02-27 21:37:53.073,34.03
82,15.46,2016-02-27 22:03:14.103,2016-02-28 13:30:37.207,36.3
83,6.13,2016-02-29 11:27:51.930,2016-02-29 17:35:22.590,38.46
84,8.89,2016-02-29 17:47:40.510,2016-03-01 02:41:20.387,45.48
85,5.15,2016-03-01 02:41:25.427,2016-03-01 07:50:39.647,31.3
86,10.32,2016-03-01 08:07:26.617,2016-03-01 18:26:32.357,45.88
87,7.3,2016-03-01 18:37:00.660,2016-03-02 01:54:43.363,46.37
88,7.1,2016-03-02 02:20:39.547,2016-03-02 09:26:45.250,42.45
89,5.68,2016-03-02 09:36:33.243,2016-03-02 15:17:05.917,43.8
90,5.94,2016-03-02 15:30:04.343,2016-03-02 21:26:46.247,30.48
91,5.45,2016-03-02 21:26:51.723,2016-03-03 02:54:08.570,37.67
92,6.03,2016-03-03 02:54:12.543,2016-03-03 08:55:58.037,35.86
93,6.06,2016-03-03 09:14:35.377,2016-03-03 15:18:05.387,46.34
94,8.01,2016-03-03 15:38:47.410,2016-03-03 23:39:22.723,44.98
95,5.88,2016-03-03 23:39:26.350,2016-03-04 05:32:28.770,37.41
96,5.62,2016-03-04 05:42:07.803,2016-03-04 11:19:15.660,34.14
97,31.59,2016-03-04 14:33:15.687,2016-03-05 22:08:32.753,32.84
98,5.6,2016-03-07 07:15:15.010,2016-03-07 12:51:15.607,40.2
99,6.85,2016-03-07 13:01:35.273,2016-03-07 19:52:25.040,39.38
100,6.07,2016-03-07 19:52:28.077,2016-03-08 01:56:48.783,39.63
101,5.99,2016-03-08 01:56:52.630,2016-03-08 07:56:10.880,38.01
102,5.62,2016-03-08 14:42:34.467,2016-03-08 20:19:33.740,44.53
103,5.55,2016-03-08 20:19:37.340,2016-03-09 01:52:41.993,35.1
104,7.43,2016-03-09 01:52:46.103,2016-03-09 09:18:25.073,35.68
105,7.52,2016-03-09 09:36:41.110,2016-03-09 17:07:57.233,38.98
106,5.29,2016-03-09 17:16:24.767,2016-03-09 22:33:56.617,37.95
107,6.32,2016-03-09 22:34:00.277,2016-03-10 04:53:16.873,44.86
108,1.89,2016-03-10 14:01:49.383,2016-03-10 15:55:21.993,46.34
109,8.89,2016-03-10 15:31:39.877,2016-03-11 00:25:21.503,30.53
110,1.94,2016-03-11 00:25:26.987,2016-03-11 02:21:37.257,36.95
111,5.8,2016-03-11 02:21:41.440,2016-03-11 08:09:49.063,30.27
112,5.53,2016-03-11 08:23:29.310,2016-03-11 13:55:19.630,38.43
113,10.26,2016-03-11 17:29:29.470,2016-03-12 03:45:23.397,43.2
114,12.69,2016-03-12 03:45:30.537,2016-03-12 16:27:03.300,46.55
115,16.73,2016-03-12 16:47:11.860,2016-03-13 09:31:13.827,41.09
116,11.34,2016-03-14 07:05:31.497,2016-03-14 18:25:55.560,40.0
117,17.24,2016-03-14 18:48:01.443,2016-03-15 12:02:08.120,42.26
118,5.68,2016-03-15 14:22:13.230,2016-03-15 20:02:57.290,37.71
119,6.12,2016-03-15 20:36:54.773,2016-03-16 02:43:51.040,32.74
120,10.89,2016-03-16 02:57:42.123,2016-03-16 13:51:18.657,43.13
121,5.43,2016-03-16 14:14:44.813,2016-03-16 19:40:39.560,35.28
122,5.76,2016-03-16 19:47:54.003,2016-03-17 01:33:34.923,31.44
123,7.66,2016-03-17 01:33:39.063,2016-03-17 09:13:01.137,32.39
124,6.57,2016-03-17 09:29:46.043,2016-03-17 16:04:15.340,39.71
125,6.17,2016-03-17 16:04:20.073,2016-03-17 22:14:24.670,43.28
126,13.08,2016-03-17 22:14:28.130,2016-03-18 11:19:06.947,48.91
127,5.04,2016-03-18 11:39:21.980,2016-03-18 16:41:42.347,48.79
128,5.58,2016-03-18 16:41:48.187,2016-03-18 22:16:22.640,40.75
129,6.99,2016-03-18 22:16:27.680,2016-03-19 05:16:05.833,37.4
