ID,Duration,Start,End,Power,Factor
1,40.21,2016-01-23 17:03:58.780,2016-01-25 09:16:48.130,47.25,163.76
2,14.7,2016-01-25 09:16:52.750,2016-01-25 23:59:02.637,40.75,180.74
3,10.89,2016-01-26 01:05:11.020,2016-01-26 11:58:50.597,31.0,186.12
4,18.67,2016-01-26 07:25:07.003,2016-01-27 02:05:35.357,49.99,151.94
5,20.66,2016-01-27 02:34:14.997,2016-01-27 23:13:50.813,36.7,119.28
6,26.36,2016-01-28 09:27:11.263,2016-01-29 11:48:38.130,48.62,136.7
7,13.9,2016-01-29 11:49:59.253,2016-01-30 01:44:09.970,41.49,126.25
8,9.34,2016-01-30 01:47:52.973,2016-01-30 11:08:14.570,46.7,156.64
9,45.75,2016-01-30 11:08:18.040,2016-02-01 08:53:32.630,33.77,126.96
10,8.44,2016-02-01 09:10:56.870,2016-02-01 17:37:17.523,38.01,145.45
11,40.65,2016-02-01 17:37:24.700,2016-02-03 10:16:35.220,45.88,186.74
12,6.85,2016-02-03 10:22:00.507,2016-02-03 17:13:15.997,40.2,188.69
13,17.35,2016-02-04 00:21:58.120,2016-02-04 17:43:00.880,31.37,113.55
14,17.5,2016-02-04 17:43:05.137,2016-02-05 11:13:02.780,30.7,160.92
15,9.61,2016-02-05 11:40:23.793,2016-02-05 21:16:51.633,31.82,188.99
16,11.5,2016-02-05 21:22:47.480,2016-02-06 08:52:45.923,49.77,142.01
17,28.01,2016-02-06 09:23:00.913,2016-02-07 13:23:54.503,34.77,116.94
18,30.23,2016-02-07 13:42:33.633,2016-02-08 19:56:29.140,40.3,109.04
19,7.73,2016-02-08 20:34:23.490,2016-02-09 04:18:10.250,40.54,195.98
20,10.6,2016-02-09 04:18:13.897,2016-02-09 14:54:20.297,36.1,105.17
21,12.36,2016-02-09 15:17:18.837,2016-02-10 03:38:50.570,30.35,181.33
22,5.42,2016-02-10 03:39:55.600,2016-02-10 09:04:58.813,43.55,165.68
23,22.73,2016-02-10 09:05:03.163,2016-02-11 07:49:03.020,31.63,144.53
24,27.54,2016-02-11 07:49:08.197,2016-02-12 11:21:29.500,36.8,196.48
25,15.35,2016-02-12 11:21:46.087,2016-02-13 02:42:41.130,49.17,188.18
26,3.21,2016-02-13 02:46:25.053,2016-02-13 05:59:17.920,30.18,134.91
27,28.6,2016-02-13 06:03:01.813,2016-02-14 10:38:54.683,45.93,118.54
28,12.16,2016-02-14 10:51:11.340,2016-02-14 23:00:57.307,49.84,134.21
29,15.65,2016-02-14 23:15:51.930,2016-02-15 14:54:45.243,36.22,196.57
30,34.27,2016-02-15 14:54:53.410,2016-02-17 01:10:50.480,47.21,162.8
31,17.09,2016-02-16 02:26:10.327,2016-02-16 19:31:38.357,35.49,179.97
32,19.21,2016-02-16 19:31:46.393,2016-02-17 14:44:06.900,47.8,111.86
33,13.3,2016-02-17 14:44:15.127,2016-02-18 04:02:01.513,30.1,198.61
34,41.26,2016-02-18 04:03:31.937,2016-02-19 21:19:23.587,48.83,163.19
35,13.68,2016-02-19 23:06:29.387,2016-02-20 12:47:17.240,33.67,119.6
36,12.2,2016-02-20 12:57:24.640,2016-02-21 01:09:38.453,42.17,131.05
37,28.28,2016-02-21 01:09:42.513,2016-02-22 05:26:31.097,35.92,173.06
38,23.96,2016-02-22 05:26:37.283,2016-02-23 05:24:09.110,46.41,178.83
39,17.52,2016-02-23 13:55:21.220,2016-02-24 07:26:24.040,42.01,185.86
40,61.52,2016-02-24 07:26:28.807,2016-02-26 20:57:29.540,41.33,119.51
41,26.08,2016-02-27 07:17:52.023,2016-02-28 09:22:38.150,37.12,119.55
42,6.27,2016-02-28 09:22:43.480,2016-02-28 15:39:07.560,46.75,144.33
43,25.58,2016-02-28 15:44:27.820,2016-02-29 17:19:26.340,48.61,158.94
