ID,Duration,Start,End,Quantity,Product,Power
1,40.21,2016-01-23 17:03:58.780,2016-01-25 09:16:48.130,4500.0,042939EU,3.45
2,14.7,2016-01-25 09:16:52.750,2016-01-25 23:59:02.637,1500.0,044042EU,4.38
3,10.89,2016-01-26 01:05:11.020,2016-01-26 11:58:50.597,1948.0,044046EU,3.96
4,18.67,2016-01-26 07:25:07.003,2016-01-27 02:05:35.357,3200.0,041137EU,3.65
5,20.66,2016-01-27 02:34:14.997,2016-01-27 23:13:50.813,3000.0,044042EU,4.43
6,26.36,2016-01-28 09:27:11.263,2016-01-29 11:48:38.130,2300.0,042939EU,3.61
7,13.9,2016-01-29 11:49:59.253,2016-01-30 01:44:09.970,1800.0,043932EU,4.0
8,9.34,2016-01-30 01:47:52.973,2016-01-30 11:08:14.570,1800.0,042932EU,3.32
9,45.75,2016-01-30 11:08:18.040,2016-02-01 08:53:32.630,5400.0,042943EU,4.37
10,8.44,2016-02-01 09:10:56.870,2016-02-01 17:37:17.523,392.0,042943EU,4.05
11,40.65,2016-02-01 17:37:24.700,2016-02-03 10:16:35.220,4500.0,044042EU,3.46
12,6.85,2016-02-03 10:22:00.507,2016-02-03 17:13:15.997,1500.0,044046EU,3.58
13,17.35,2016-02-04 00:21:58.120,2016-02-04 17:43:00.880,1800.0,028138EU,3.45
14,17.5,2016-02-04 17:43:05.137,2016-02-05 11:13:02.780,2300.0,044046EU,3.68
15,9.61,2016-02-05 11:40:23.793,2016-02-05 21:16:51.633,1500.0,037732CH,4.04
16,11.5,2016-02-05 21:22:47.480,2016-02-06 08:52:45.923,2400.0,023732CH,3.4
17,28.01,2016-02-06 09:23:00.913,2016-02-07 13:23:54.503,5700.0,044046EU,4.6
18,30.23,2016-02-07 13:42:33.633,2016-02-08 19:56:29.140,2700.0,036640EC,3.52
19,7.73,2016-02-08 20:34:23.490,2016-02-09 04:18:10.250,1400.0,042943EU,4.3
20,10.6,2016-02-09 04:18:13.897,2016-02-09 14:54:20.297,1400.0,043942EU,4.74
21,12.36,2016-02-09 15:17:18.837,2016-02-10 03:38:50.570,1400.0,044132EU,4.22
22,5.42,2016-02-10 03:39:55.600,2016-02-10 09:04:58.813,1400.0,043932EU,4.22
23,22.73,2016-02-10 09:05:03.163,2016-02-11 07:49:03.020,2400.0,042944EU,4.41
24,27.54,2016-02-11 07:49:08.197,2016-02-12 11:21:29.500,5000.0,044042EU,4.1
