ID,Duration,Start,End,Quantity,Product
47545,13.38,2015-11-02 21:28:30.743,2015-11-03 11:36:11.363,20,NOUILLES PPX 10x1KG
-1,0.75,2015-11-03 00:27:55.650,2015-11-03 01:12:39.773,20,NONE
-2,0.0,2015-11-03 11:36:11.363,2015-11-03 11:36:16.923,20,NONE
47546,4.34,2015-11-03 11:36:16.923,2015-11-03 22:48:48.280,20,TOSCA MACARONI KORT 10x1KG IN
-3,5.51,2015-11-03 11:58:32.953,2015-11-03 17:29:24.410,20,NONE
-4,1.36,2015-11-03 20:12:50.850,2015-11-03 21:34:13.330,20,NONE
-5,0.2,2015-11-03 22:48:48.280,2015-11-03 23:01:03.360,20,NONE
47543,12.97,2015-11-03 23:01:03.360,2015-11-04 12:54:16.143,20,MACARONI COUPÉS PPX 10X1KG
-6,0.92,2015-11-04 02:35:11.837,2015-11-04 03:30:22.977,20,NONE
-7,0.76,2015-11-04 12:54:16.143,2015-11-04 13:39:59.623,20,NONE
47547,5.33,2015-11-04 13:39:59.623,2015-11-04 18:59:53.420,20,TOSCA HORENTJES 12x1KG IN DISP
-8,0.21,2015-11-04 18:59:53.420,2015-11-04 19:12:42.290,20,NONE
47544,6.75,2015-11-04 19:12:42.290,2015-11-05 05:42:04.100,20,COQUILLETTES PPX 12x1KG
-9,3.74,2015-11-04 20:11:16.683,2015-11-04 23:55:25.287,20,NONE
-10,0.0,2015-11-05 01:22:55.653,2015-11-05 01:23:13.520,20,NONE
-11,0.38,2015-11-05 05:42:04.100,2015-11-05 06:04:46.170,20,NONE
47540,13.81,2015-11-05 06:04:46.170,2015-11-05 19:53:25.297,20,HORENTJES AMBRA SUPERIORE 20x5
-12,0.22,2015-11-05 19:53:25.297,2015-11-05 20:06:54.923,20,NONE
47538,6.15,2015-11-05 20:06:54.923,2015-11-06 02:15:59.460,20,CARREFOUR DISCOUNT COQUILLETTE
