ID,Duration,Start,End,Quantity,Product
50830,17,2016-01-22 22:00:00.000000,2016-01-23 15:00:00.000000,20,ZITTI LM 942/1311 1.1% AS/DS
5,32,2016-01-23 15:00:00.000000,2016-01-24 23:00:00.000000,20,NONE
50909,6,2016-01-24 23:00:00.000000,2016-01-25 05:00:00.000000,20,HORENTJES H/Z 60/40
50908,7,2016-01-25 05:00:00.000000,2016-01-25 12:00:00.000000,20,QUICK MACARONI KORT 20MM
7,1,2016-01-25 12:00:00.000000,2016-01-25 13:00:00.000000,20,NONE
50910,5,2016-01-25 13:00:00.000000,2016-01-25 18:00:00.000000,20,ELLEBOOGMACARONI
50703,7,2016-01-25 18:00:00.000000,2016-01-26 01:00:00.000000,20,"SPIRALEN DURUM AS 1,1%"
50741,5,2016-01-26 01:00:00.000000,2016-01-26 06:00:00.000000,20,HORENTJE H/Z 10/90
50912,8,2016-01-26 06:00:00.000000,2016-01-26 14:00:00.000000,20,VERMICELLI EXTRA 16mm
50913,6,2016-01-26 14:00:00.000000,2016-01-26 20:00:00.000000,20,PENNE SCHERPE HOEK 40MM
50877,6,2016-01-26 20:00:00.000000,2016-01-27 02:00:00.000000,20,"GESNEDEN MACARONI AS 0,9%"
13,1,2016-01-27 02:00:00.000000,2016-01-27 03:00:00.000000,20,NONE
50926,6,2016-01-27 03:00:00.000000,2016-01-27 09:00:00.000000,20,HELICES EXTRA CESTINDUE
