Product,UnitPrice,Power,TargetProductionRate
ZITTI LM 942/1311 1.1% AS/DS,5,10.398955226735838,3000
NONE,5,0.0,3000
HORENTJES H/Z 60/40,5,10.963264653951361,3000
QUICK MACARONI KORT 20MM,5,10.712817278134361,3000
ELLEBOOGMACARONI,5,11.27494003591766,3000
"SPIRALEN DURUM AS 1,1%",5,10.65125365541709,3000
HORENTJE H/Z 10/90,5,11.81419912733794,3000
VERMICELLI EXTRA 16mm,5,11.470504936540147,3000
PENNE SCHERPE HOEK 40MM,5,10.024385038782064,3000
"GESNEDEN MACARONI AS 0,9%",5,11.015390206640328,3000
HELICES EXTRA CESTINDUE,5,10.726596160922934,3000
