Product,UnitPrice,Power,TargetProductionRate
ELLEBOOGMACARONI,5,3.0844370053794794,3000
NONE,5,0.0,3000
"SPIRALEN DURUM AS 0,9%",5,8.09799635587382,3000
PENNEN EXTRA SCHERPE HOEK,5,3.432307387171833,3000
PENNE SCHERPE HOEK 40MM,5,2.982064072281865,3000
KLEIN HORENTJE H/Z 10/90,5,6.099602124608593,3000
"GESNEDEN MACARONI AS 0,9%",5,3.180188449847316,3000
HORENTJES EXTRA,5,8.458833938187727,3000
HORENTJES VOLKOREN STANDAARD,5,2.0008106900792457,3000
HORENTJE H/Z 10/90,5,2.9539888995168475,3000
"MACARONI KORT AS 1,1% DURUM",5,5.664828109481382,3000
